Instance name,n,A
rusty-2-2000,2000,False
wall-p-3,20,False
ski-level20-3,254,False
gnm-1000-2000-1,1000,False
gnm-3000-6000-0,3000,False
dodecahedron,20,False
common-2-2500,2500,True
wall-n-1000,8000,False
gnm-3000-6000-1,3000,False
gnm-1000-2000-0,1000,False
ski-level20-2,253,False
wall-p-2,14,False
common-1-5000,5000,True
common-1-1500,1500,False
ski-level20-1,252,False
wall-p-1,8,False
grid-25-0,625,True
common-1-3500,3500,False
gnm-5000-7500-1,5000,False
wall-z-1000,7001,False
smallworld-20-1,400,True
increase-n20-1,20,False
smallworld-20-0,400,False
rusty-1-3000,3000,False
gnm-5000-7500-0,5000,False
wall-p-4,26,False
grid-25-1,625,True
common-2-20,20,False
gnm-2000-3000-1,2000,True
wall-p-1000,6002,False
gnm-4000-6000-1,4000,False
rusty-2-4500,4500,False
common-2-250,250,False
gnm-10-15-0,10,False
increase-n20-3,20,False
wall-z-10000,70001,False
increase-n20-2,20,True
gnm-10-15-1,10,True
gnm-4000-6000-0,4000,False
common-2-4000,4000,True
bht,5757,False
grid-25-2,625,True
gnm-2000-3000-0,2000,False
rusty-2-5757,5757,False
wall-n-4,32,False
common-2-50,50,False
increase-n100-3,100,False
gnm-3000-4500-1,3000,False
gnm-1000-1500-0,1000,False
wall-p-10000,60002,False
rusty-1-3500,3500,False
gnm-1000-1500-1,1000,False
gnm-3000-4500-0,3000,False
common-1-3000,3000,False
increase-n100-2,100,True
common-2-4500,4500,True
gnm-2000-4000-1,2000,False
common-2-5757,5757,True
rusty-2-4000,4000,False
gnm-2000-4000-0,2000,False
increase-n100-1,100,False
wall-n-2,16,False
grid-5-0,25,True
common-1-250,250,False
common-2-2000,2000,True
rusty-2-2500,2500,False
grid-5-1,25,True
wall-n-3,24,False
wall-n-1,8,False
rusty-1-5000,5000,False
smallworld-40-0,1600,False
wall-n-10000,80000,False
common-1-1000,1000,False
smallworld-40-1,1600,True
grid-5-2,25,True
common-1-20,20,False
grid-50-1,2500,False
increase-n500-2,500,True
smallworld-10-0,100,False
increase-n10-1,10,True
rusty-1-4500,4500,False
common-1-100,100,False
smallworld-10-1,100,True
increase-n500-3,500,True
wall-n-100,800,False
common-1-4000,4000,False
grid-50-0,2500,False
rusty-1-5757,5757,False
ski-level3-1,16,True
common-2-3500,3500,True
ski-level3-3,15,False
ski-illustration,36,False
smallworld-3-1,9,False
grid-50-2,2500,False
increase-n500-1,500,True
increase-n10-2,10,True
increase-n10-3,10,False
rusty-2-3000,3000,False
smallworld-3-0,9,False
ski-level3-2,14,False
wall-p-10,62,False
ski-level10-2,76,False
gnm-5000-10000-0,5000,False
common-2-1500,1500,True
common-2-5000,5000,True
increase-n8-3,8,True
rusty-1-17,17,False
increase-n8-2,8,True
gnm-5000-10000-1,5000,True
ski-level5-1,29,False
ski-level10-3,77,False
rusty-1-2000,2000,False
common-1-500,500,False
smallworld-30-0,900,False
ski-level10-1,79,False
ski-level5-3,27,False
increase-n8-1,8,True
ski-level5-2,26,False
common-1-2500,2500,False
wall-z-100,701,False
smallworld-30-1,900,True
rusty-2-5000,5000,False
wall-z-1,8,False
P3,3,True
common-2-1000,1000,True
wall-z-2,15,False
common-1-2000,2000,False
wall-z-3,22,False
rusty-1-2500,2500,False
common-2-100,100,False
common-1-4500,4500,True
grid-10-0,100,False
common-2-500,500,True
smallworld-50-1,2500,True
common-1-5757,5757,True
smallworld-50-0,2500,False
increase-n50-1,50,False
rusty-1-4000,4000,False
common-1-50,50,False
grid-10-1,100,False
gnm-4000-8000-1,4000,True
wall-n-10,80,False
wall-z-4,29,False
increase-n50-3,50,True
gnm-10-20-0,10,False
rusty-2-3500,3500,False
wall-p-100,602,False
increase-n50-2,50,True
gnm-10-20-1,10,True
G-ex,8,True
common-2-3000,3000,True
grid-10-2,100,True
gnm-4000-8000-0,4000,False
wall-z-10,71,False
