Instance name,n,F
rusty-2-2000,2000,0
wall-p-3,20,0
ski-level20-3,254,-1
gnm-1000-2000-1,1000,5
gnm-3000-6000-0,3000,0
dodecahedron,20,2
common-2-2500,2500,1
wall-n-1000,8000,0
gnm-3000-6000-1,3000,2
gnm-1000-2000-0,1000,0
ski-level20-2,253,10
wall-p-2,14,0
common-1-5000,5000,1
common-1-1500,1500,-1
ski-level20-1,252,5
wall-p-1,8,0
grid-25-0,625,12
common-1-3500,3500,1
gnm-5000-7500-1,5000,-1
wall-z-1000,7001,0
smallworld-20-1,400,4
increase-n20-1,20,-1
smallworld-20-0,400,1
rusty-1-3000,3000,0
gnm-5000-7500-0,5000,-1
wall-p-4,26,0
grid-25-1,625,12
common-2-20,20,-1
gnm-2000-3000-1,2000,4
wall-p-1000,6002,0
gnm-4000-6000-1,4000,3
rusty-2-4500,4500,0
common-2-250,250,-1
gnm-10-15-0,10,0
increase-n20-3,20,-1
wall-z-10000,70001,0
increase-n20-2,20,1
gnm-10-15-1,10,1
gnm-4000-6000-0,4000,2
common-2-4000,4000,1
bht,5757,0
grid-25-2,625,12
gnm-2000-3000-0,2000,0
rusty-2-5757,5757,0
wall-n-4,32,0
common-2-50,50,-1
increase-n100-3,100,-1
gnm-3000-4500-1,3000,6
gnm-1000-1500-0,1000,1
wall-p-10000,60002,0
rusty-1-3500,3500,0
gnm-1000-1500-1,1000,6
gnm-3000-4500-0,3000,1
common-1-3000,3000,1
increase-n100-2,100,2
common-2-4500,4500,1
gnm-2000-4000-1,2000,0
common-2-5757,5757,1
rusty-2-4000,4000,0
gnm-2000-4000-0,2000,1
increase-n100-1,100,-1
wall-n-2,16,0
grid-5-0,25,2
common-1-250,250,-1
common-2-2000,2000,1
rusty-2-2500,2500,0
grid-5-1,25,1
wall-n-3,24,0
wall-n-1,8,0
rusty-1-5000,5000,0
smallworld-40-0,1600,0
wall-n-10000,80000,0
common-1-1000,1000,-1
smallworld-40-1,1600,3
grid-5-2,25,3
common-1-20,20,-1
grid-50-1,2500,24
increase-n500-2,500,1
smallworld-10-0,100,0
increase-n10-1,10,1
rusty-1-4500,4500,0
common-1-100,100,-1
smallworld-10-1,100,2
increase-n500-3,500,1
wall-n-100,800,0
common-1-4000,4000,1
grid-50-0,2500,24
rusty-1-5757,5757,0
ski-level3-1,16,3
common-2-3500,3500,1
ski-level3-3,15,1
ski-illustration,36,0
smallworld-3-1,9,1
grid-50-2,2500,26
increase-n500-1,500,2
increase-n10-2,10,2
increase-n10-3,10,-1
rusty-2-3000,3000,0
smallworld-3-0,9,2
ski-level3-2,14,1
wall-p-10,62,0
ski-level10-2,76,4
gnm-5000-10000-0,5000,2
common-2-1500,1500,1
common-2-5000,5000,1
increase-n8-3,8,0
rusty-1-17,17,0
increase-n8-2,8,1
gnm-5000-10000-1,5000,1
ski-level5-1,29,3
ski-level10-3,77,7
rusty-1-2000,2000,-1
common-1-500,500,-1
smallworld-30-0,900,0
ski-level10-1,79,-1
ski-level5-3,27,0
increase-n8-1,8,1
ski-level5-2,26,2
common-1-2500,2500,1
wall-z-100,701,0
smallworld-30-1,900,4
rusty-2-5000,5000,0
wall-z-1,8,0
P3,3,1
common-2-1000,1000,1
wall-z-2,15,0
common-1-2000,2000,-1
wall-z-3,22,0
rusty-1-2500,2500,-1
common-2-100,100,-1
common-1-4500,4500,1
grid-10-0,100,4
common-2-500,500,1
smallworld-50-1,2500,2
common-1-5757,5757,2
smallworld-50-0,2500,0
increase-n50-1,50,-1
rusty-1-4000,4000,0
common-1-50,50,-1
grid-10-1,100,4
gnm-4000-8000-1,4000,6
wall-n-10,80,0
wall-z-4,29,0
increase-n50-3,50,1
gnm-10-20-0,10,1
rusty-2-3500,3500,0
wall-p-100,602,0
increase-n50-2,50,1
gnm-10-20-1,10,2
G-ex,8,1
common-2-3000,3000,1
grid-10-2,100,4
gnm-4000-8000-0,4000,0
wall-z-10,71,0
