Instance name,n,M,S
ski-level20-3,254,4,True
ski-level20-2,253,14,True
ski-level20-1,252,11,True
increase-n20-1,20,4,True
increase-n20-3,20,1,True
increase-n20-2,20,5,True
increase-n100-3,100,5,True
increase-n100-2,100,13,True
increase-n100-1,100,7,True
increase-n500-2,500,26,True
increase-n10-1,10,3,True
increase-n500-3,500,17,True
ski-level3-1,16,3,True
ski-level3-3,15,1,True
ski-illustration,36,1,True
increase-n500-1,500,21,True
increase-n10-2,10,3,True
increase-n10-3,10,5,True
ski-level3-2,14,3,True
ski-level10-2,76,4,True
increase-n8-3,8,2,True
increase-n8-2,8,1,True
ski-level5-1,29,3,True
ski-level10-3,77,7,True
ski-level10-1,79,5,True
ski-level5-3,27,0,False
increase-n8-1,8,3,True
ski-level5-2,26,2,True
increase-n50-1,50,1,True
increase-n50-3,50,7,True
increase-n50-2,50,8,True
